TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
n	s	['ax', 'f']	6509	4926	95	8107	11394
n	r	['aa', 'd']	6895	0511	97	7993	11274
n	w	['ax', 'ih']	3851	8824	100	907	11640
z	n	['ae', 's']	2741	3851	120	8653	10816
f	n	['ih', 'hh']	5802	4926	138	5523	9615
w	n	['ax', 'ao']	5802	6509	141	3368	10754
m	w	['ax', 'ih']	3851	0511	144	10997	11648
d	w	['v', 'ih']	3851	2294	147	9151	9322
t	w	['ax', 'ih']	6509	3851	158	8314	10132
l	r	['t', 'eh']	8824	1571	160	9458	6452
m	hh	['v', 'ih']	3347	6895	162	11203	11352
s	l	['t', 'eh']	8824	5802	163	913	10970
k	r	['eh', 'ax']	1571	5802	166	9650	10548
n	f	['ih', 'hh']	5189	4926	174	1901	10867
n	r	['eh', 'ax']	5189	2294	186	10651	9162
n	y	['t', 'ih']	3347	1571	192	9190	4518
t	d	['v', 'ih']	5802	8193	203	4987	11132
s	g	['ax', 'ih']	5189	1571	204	8336	11423
r	k	['eh', 's']	3347	8824	208	4975	10537
p	s	['eh', 'ax']	8193	5802	211	8673	10478
r	n	['aa', 'd']	6509	8824	240	7163	11583
y	p	['t', 'ih']	5189	3347	254	1888	11539
v	w	['ax', 'ih']	5189	8824	270	1402	10565
m	r	['eh', 'ax']	4926	5189	285	11686	11278
k	r	['t', 'eh']	2294	0188	290	10023	11187
v	n	['eh', 'ax']	5189	0511	295	1512	11374
p	g	['s', 'aa']	0511	0188	299	7831	11408
z	r	['g', 'ih']	1571	6895	306	925	685
w	l	['s', 'aa']	3851	2741	314	6590	11216
l	t	['s', 'aa']	3347	3851	334	6024	9852
k	n	['ax', 'ae']	5802	2294	341	10388	10489
hh	r	['t', 'eh']	3347	1571	346	8474	11390
g	m	['ax', 'ae']	5189	6509	353	10789	11361
w	z	['v', 'ih']	6509	8824	355	4452	10443
m	l	['ae', 's']	4926	8824	361	6563	7559
hh	d	['v', 'ih']	5802	6509	367	2578	11600
s	d	['v', 'ih']	5802	2294	419	3328	7202
r	g	['ax', 'ih']	1571	0188	432	2472	11675
z	f	['v', 'ih']	6509	5189	450	10258	10220
y	hh	['ax', 'ih']	4926	8193	458	3945	9582
k	t	['s', 'aa']	6509	1571	472	7184	4568
b	n	['ae', 's']	5189	3347	482	8212	8693
b	g	['ax', 'ih']	1571	0188	490	10996	11639
m	s	['t', 'eh']	5189	8193	501	6986	11125
w	y	['d', 'ao']	1571	5189	510	9784	11499
t	y	['d', 'ao']	8193	2294	536	10821	11368
y	t	['t', 'eh']	0188	3347	542	9437	9993
k	hh	['ax', 'ih']	8193	3851	544	11409	10660
y	hh	['ax', 'ao']	6509	4926	558	11166	2994
p	t	['v', 'ih']	5802	1571	587	4058	9176
v	f	['v', 'ih']	8824	3851	589	10716	5369
t	v	['eh', 'ax']	2741	6895	632	11220	11186
n	w	['ax', 'ao']	1571	6895	659	9237	10416
g	y	['t', 'eh']	0188	5802	663	8938	5646
g	v	['ax', 'eh']	2741	8193	683	11038	11549
z	w	['ax', 'ih']	4926	6509	765	6996	11660
l	y	['ax', 'ih']	6895	8824	767	11497	11550
f	t	['s', 'aa']	8824	2741	780	7150	10976
r	z	['v', 'ih']	6509	2294	782	7081	8871
f	l	['t', 'eh']	0188	6509	792	9474	11391
t	n	['aa', 'd']	8824	2741	823	5630	3534
d	f	['t', 'eh']	2741	3347	827	8751	6298
v	p	['ax', 'ae']	6895	8193	848	7852	10752
v	g	['ax', 'eh']	2294	2741	854	8874	11038
g	t	['s', 'aa']	0511	2294	856	11617	4509
b	g	['t', 'aa']	5802	6509	889	3296	9901
r	z	['g', 'ih']	1571	0188	925	306	142
g	v	['t', 'ih']	2294	6509	935	1841	10365
b	y	['t', 'ih']	5189	2741	961	5762	11012
hh	n	['eh', 'ax']	4926	6895	972	10577	7657
v	s	['ah', 'b']	4926	1571	1006	6277	11484
p	l	['ax', 'uh']	3851	2741	1016	8029	10277
f	d	['v', 'ih']	6509	0511	1018	6483	9537
s	aa	['d', 't']	6509	5189	1162	6240	11684
v	n	['ae', 's']	8824	4926	1308	11571	9508
aa	s	['p', 't']	6895	3347	1315	9572	7229
g	r	['d', 'ao']	3851	6509	1343	8045	10702
f	y	['ax', 'ao']	6509	3347	1405	6365	11510
y	b	['t', 'ao']	5189	6895	1409	4485	10511
aa	s	['d', 't']	5189	6509	1443	11684	6240
g	p	['ax', 'uh']	0188	3851	1454	10667	11396
l	g	['ax', 'uh']	4926	2741	1521	4419	10890
f	n	['eh', 'ax']	5189	8824	1541	11378	11082
v	r	['ih', 'hh']	0188	4926	1550	4108	1267
z	w	['d', 'ao']	2741	2294	1571	11612	4740
aa	t	['s', 'f']	6895	2294	1582	11271	8195
t	aa	['s', 'f']	4926	6895	1654	6901	11271
s	n	['ax', 'f']	3347	5189	1665	10393	10351
l	r	['eh', 's']	2294	0511	1677	6367	11301
v	g	['t', 'ih']	2294	8824	1841	935	3108
p	y	['t', 'ih']	5189	4926	1888	254	6627
aa	t	['k', 's']	3851	0511	1950	3929	10904
n	y	['g', 'ax']	2294	0511	1982	8893	11259
n	w	['g', 'ih']	5189	4926	1985	11474	1856
s	v	['ah', 'b']	8824	4926	2051	10051	6277
l	d	['ax', 'ae']	6509	1571	2469	5	38
w	f	['ax', 'uh']	3851	6509	2684	4145	11653
b	g	['d', 'ao']	3851	6895	2772	7555	11243
f	y	['d', 'ao']	6509	3851	2895	3393	11450
t	f	['t', 'eh']	0188	6895	2955	4106	7704
s	y	['d', 'ao']	8193	5189	2962	3830	8756
g	b	['t', 'aa']	5802	0511	3296	889	9269
w	v	['v', 'eh']	3851	0188	3309	4625	9014
v	y	['d', 'eh']	6509	2294	3372	4246	5002
t	aa	['k', 's']	1571	8824	3378	10369	7260
p	y	['ax', 'ao']	5189	1571	3672	5522	6411
v	y	['z', 'eh']	0188	3347	3705	5280	8090
m	y	['d', 'ao']	6509	2294	3741	764	9177
p	r	['eh', 's']	2741	6895	3977	3033	7726
r	v	['ih', 'hh']	0188	2294	4108	1550	4749
aa	t	['p', 's']	0511	5802	4155	10184	11453
hh	y	['ax', 'ao']	5189	6509	4193	2563	11166
y	v	['d', 'eh']	6509	5802	4246	3372	8649
d	y	['ax', 'ao']	5189	6895	4400	3142	11033
y	n	['g', 'ax']	6509	3851	4413	5815	10781
b	y	['t', 'ao']	5189	6895	4485	1409	8963
r	g	['d', 'ao']	3851	6509	4604	1343	6473
y	v	['z', 'eh']	5802	0188	4611	6706	5280
v	w	['v', 'eh']	3851	2294	4625	3309	2013
k	r	['eh', 's']	3347	5189	4975	9807	11372
hh	g	['s', 'ih']	6895	4926	5593	10657	5229
k	y	['d', 'ao']	8193	6895	6353	4404	9909
g	d	['eh', 'z']	6509	6895	6514	8950	8987
aa	s	['b', 't']	4926	5802	6658	7075	1803
s	aa	['b', 't']	4926	5189	7075	6658	10962
d	g	['eh', 'z']	6895	2741	7631	8987	10636
s	aa	['p', 't']	6895	2294	9572	1315	11302
t	aa	['p', 's']	0511	3851	10184	4155	4403
g	hh	['s', 'ih']	6895	1571	10657	5593	8528
n	g	['eh', 'z']	3851	8193	11327	7685	7836
w	n	['g', 'ih']	5189	2741	11474	1985	10695
l	y	['d', 'ao']	1571	4926	11490	11	11622
