TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
b	n	['ae', 's']	6509	0511	175	10157	9899
d	n	['ae', 's']	0188	6509	181	9463	10128
m	z	['ae', 's']	8824	4926	184	7618	9965
p	w	['s', 'aa']	2741	0188	190	9545	11186
r	n	['aa', 'd']	8824	3851	201	6045	11033
v	w	['v', 'ih']	3851	8824	206	4552	7948
v	p	['ax', 'ae']	1571	8824	216	10623	7033
aa	s	['b', 't']	4926	5802	223	5036	8449
b	t	['v', 'ih']	5802	6895	226	9193	10927
s	y	['ax', 'ih']	5189	0511	233	1834	11020
l	s	['t', 'eh']	0188	1571	245	862	10275
p	w	['ax', 'uh']	2294	3851	250	694	11179
f	n	['ih', 'hh']	5802	4926	272	8146	6079
w	v	['ax', 'ih']	6509	5189	289	4983	11149
f	g	['t', 'eh']	0188	8193	294	11058	4270
r	s	['t', 'eh']	3347	1571	299	10799	10897
b	f	['ax', 'ae']	6895	0511	300	2418	9832
t	y	['ax', 'ih']	4926	5189	303	3949	11051
t	m	['t', 'eh']	0188	6895	305	7135	2985
p	hh	['ax', 'ih']	1571	5189	309	11158	11196
w	k	['s', 'eh']	3347	0511	320	7877	9630
w	n	['g', 'ih']	5189	8824	329	8579	9430
s	r	['v', 'ih']	1571	2294	330	9769	7802
f	z	['eh', 'ax']	8824	5189	339	10319	2176
l	f	['ax', 'uh']	5802	5189	365	4484	10075
z	l	['eh', 'ax']	0188	8824	374	2568	11109
y	r	['d', 'ao']	1571	6509	376	11210	8714
r	n	['eh', 's']	2741	3347	378	2432	11067
l	n	['ae', 's']	8193	8824	382	7680	9272
g	l	['ax', 'uh']	3851	5189	408	867	9968
l	y	['ax', 'ih']	6895	2294	413	2789	10892
w	hh	['k', 'ih']	4926	8824	422	2967	10654
t	p	['ae', 's']	4926	0188	425	6954	11083
k	v	['ae', 's']	2294	5189	429	1513	10850
v	g	['ax', 'eh']	5802	2741	451	9564	9527
m	l	['v', 'ih']	6895	3347	467	4038	11123
k	r	['t', 'eh']	6895	6509	489	10242	10738
w	g	['ax', 'uh']	2294	6509	490	7717	10004
v	w	['s', 'eh']	2294	0188	492	1692	10818
w	n	['ax', 'ao']	5802	4926	498	8303	11142
r	v	['ih', 'hh']	0188	2294	549	4471	5622
t	k	['aa', 'ah']	2294	8824	559	6468	6971
t	r	['eh', 'ax']	5802	8193	580	5242	10598
y	f	['t', 'eh']	0188	3347	585	5927	4479
n	w	['ax', 'ao']	8193	1571	594	8667	8399
b	y	['t', 'ao']	5189	6895	646	6441	5175
t	w	['s', 'eh']	6509	4926	652	9279	10705
z	n	['aa', 'd']	6509	0511	682	10534	10951
g	d	['eh', 'z']	6895	5189	684	9543	5369
g	n	['ax', 'ae']	5189	6509	685	10425	5514
z	w	['ax', 'ih']	1571	8824	701	3257	11229
b	r	['t', 'eh']	1571	8824	706	4355	10388
p	b	['v', 'ih']	5802	1571	751	10496	9816
f	w	['ax', 'uh']	2294	3851	776	8891	8614
f	y	['ax', 'ao']	6509	1571	789	2448	10298
aa	s	['ax', 'p']	4926	0511	796	10315	8592
g	v	['ax', 'eh']	2741	6509	817	9527	11032
v	w	['ax', 'ih']	5802	6895	825	6703	10922
r	w	['k', 'ih']	6509	1571	831	10080	10729
w	hh	['v', 'ih']	6509	3851	907	8718	7426
hh	w	['t', 'eh']	1571	5189	912	6275	9403
d	w	['t', 'eh']	3347	2741	921	10900	2812
y	hh	['ax', 'ao']	5189	4926	1000	6339	8297
z	g	['d', 'ao']	2294	2741	1020	10229	10237
r	y	['ax', 'ih']	5189	5802	1024	7174	10727
aa	t	['s', 'f']	2294	4926	1065	4316	8375
s	aa	['k', 't']	6509	2741	1090	5231	10617
y	b	['t', 'ao']	6895	3347	1140	5175	7839
k	r	['eh', 's']	8824	1571	1164	3631	10961
r	g	['d', 'ao']	3851	6509	1172	4615	10915
f	hh	['ax', 'ih']	3347	8824	1195	10408	9158
m	y	['ax', 'ih']	8193	4926	1407	2866	11005
p	r	['eh', 's']	6895	2741	1410	7703	7035
p	r	['eh', 'ax']	8193	5802	1466	5520	8825
aa	s	['k', 't']	2741	6895	1541	10617	5252
s	w	['k', 'ih']	8824	5189	1646	11098	6478
p	w	['s', 'eh']	0511	5802	1758	9301	11218
v	s	['ah', 'b']	8824	6895	1811	6053	10668
l	t	['s', 'aa']	3347	3851	1819	3964	10898
t	p	['v', 'ih']	5802	8193	2004	6081	10547
s	aa	['ax', 'p']	4926	0511	2069	796	11082
hh	r	['eh', 'ax']	4926	6895	2105	7021	7009
y	n	['t', 'ih']	3347	5189	2189	7753	9252
k	w	['s', 'eh']	6509	3851	2356	2992	11115
v	y	['z', 'eh']	0188	3347	2531	9338	11078
y	v	['z', 'eh']	5802	0188	2549	6323	9338
p	y	['ax', 'ao']	5189	1571	2608	8071	10853
k	y	['d', 'ao']	8193	5189	2704	8224	8264
y	n	['g', 'ax']	6509	3347	2723	10240	10914
s	v	['ah', 'b']	8824	0188	2765	4695	9187
n	z	['aa', 'ah']	3347	0511	3016	4777	3253
v	y	['d', 'eh']	6509	2294	3074	5919	1402
k	z	['aa', 'ah']	2294	8193	3296	6657	134
t	r	['aa', 'd']	0188	8824	3565	8210	6008
g	w	['s', 'aa']	0511	2294	3571	5275	9417
w	y	['d', 'ao']	1571	2741	3643	2699	10618
r	z	['g', 'ih']	1571	0188	3648	3755	9788
f	y	['d', 'ao']	6509	8824	3661	9506	10954
z	r	['g', 'ih']	1571	6895	3755	3648	5609
hh	g	['s', 'ih']	6895	5802	3814	9549	8749
p	y	['t', 'ih']	5189	2294	4088	3299	7239
l	y	['d', 'ao']	1571	4926	4145	7858	9493
t	aa	['s', 'f']	2294	6895	4316	1065	7996
v	r	['ih', 'hh']	0188	4926	4471	549	10094
g	r	['d', 'ao']	3851	2294	4615	7990	7176
z	n	['aa', 'ah']	3347	1571	4777	3016	10786
s	aa	['b', 't']	4926	0511	5036	223	11006
d	g	['eh', 'z']	6509	6895	5206	1340	9543
b	y	['t', 'ih']	5189	2294	5483	3514	9717
d	y	['ax', 'ao']	5189	2741	5599	9851	10001
y	v	['d', 'eh']	6509	4926	5919	3074	3167
t	aa	['k', 't']	6895	2741	6042	4016	8811
b	r	['aa', 'd']	8193	3851	6212	11174	7574
hh	y	['ax', 'ao']	5189	3851	6339	1000	10759
v	g	['t', 'ih']	2294	8824	6489	6808	3039
b	g	['t', 'aa']	5802	6509	6550	11198	5744
g	v	['t', 'ih']	2294	6509	6808	6489	8077
n	y	['g', 'ax']	2294	6509	7046	9092	10240
m	w	['s', 'eh']	3347	6895	7530	9801	1217
n	y	['t', 'ih']	3347	1571	7753	2189	10241
k	w	['s', 'aa']	1571	5802	7993	10677	11128
n	g	['eh', 'z']	3851	8193	8363	2311	9632
n	w	['g', 'ih']	5189	4926	8579	329	1642
b	w	['s', 'eh']	3347	5802	9323	10488	8452
g	hh	['s', 'ih']	6895	1571	9549	3814	4050
t	y	['d', 'ao']	8193	2294	9625	2159	10071
n	s	['ah', 'b']	0188	2741	9949	4515	10877
m	y	['d', 'ao']	6509	5802	10480	6414	10887
b	g	['d', 'ao']	3851	0188	10920	6304	8198
s	y	['d', 'ao']	8193	2294	10948	1176	10709
t	aa	['ax', 'p']	2294	8824	11110	4732	9863
g	b	['t', 'aa']	5802	0188	11198	6550	9280
