TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
d	b	['v', 'ih']	5802	2294	227	8142	11126
hh	s	['v', 'ih']	2294	4926	262	1733	11007
t	g	['ax', 'ae']	5189	1571	263	2404	7268
hh	r	['t', 'eh']	5189	3347	268	10826	1660
n	k	['ih', 'ao']	5189	4926	284	10416	10204
f	p	['ax', 'ih']	3851	1571	295	11164	9480
d	k	['eh', 'ax']	6509	2294	300	6799	10608
t	z	['eh', 'ax']	5802	8193	301	6684	11239
k	v	['ae', 's']	2294	6509	311	4760	10424
f	p	['ax', 'uh']	2294	3851	318	7636	9843
m	f	['v', 'ih']	0511	0188	327	10157	8922
k	r	['eh', 's']	3851	6509	330	9029	10812
r	z	['g', 'ih']	1571	0188	338	8837	9907
l	r	['eh', 'ax']	3851	0188	348	10950	11150
g	w	['ax', 'uh']	2294	4926	367	3661	8773
g	s	['t', 'eh']	5802	0188	378	5187	8908
m	g	['t', 'eh']	0188	8193	393	11234	10927
v	l	['ax', 'ae']	6895	8824	412	10400	11290
t	r	['eh', 'hh']	6509	8193	439	7171	5433
p	d	['ae', 's']	5802	0188	450	5192	10973
l	g	['ax', 'uh']	3347	5189	466	2608	10556
aa	s	['t', 'p']	6895	2294	511	8220	10738
f	k	['t', 'eh']	0188	2741	521	5556	10599
hh	g	['s', 'ih']	6895	3347	537	4711	9925
k	hh	['ax', 'ih']	2741	6895	568	7521	10594
f	y	['d', 'ao']	6509	2294	582	1315	11106
y	v	['z', 'eh']	5802	0188	585	3511	3952
n	s	['eh', 'hh']	3851	8193	587	10778	11111
m	g	['ax', 'ih']	5189	8824	607	10703	10480
l	s	['t', 'eh']	5189	8824	609	6408	9554
g	v	['ax', 'eh']	8824	2294	613	1005	11123
s	aa	['k', 't']	2741	1571	629	9342	11179
aa	s	['k', 't']	6895	6509	678	8091	9533
p	w	['ax', 'uh']	3851	0188	726	3134	10261
b	s	['t', 'eh']	1571	2294	728	7565	9587
r	n	['eh', 'hh']	2294	6509	748	897	11246
b	n	['ae', 's']	8193	8824	761	8408	10736
l	m	['v', 'ih']	0188	3851	766	10248	5628
r	n	['eh', 's']	0188	2741	782	7196	11294
v	y	['ax', 'ih']	4926	6895	788	4582	10996
f	d	['v', 'ih']	8824	6509	860	8792	2320
k	w	['s', 'eh']	3347	6509	896	9861	10724
w	n	['ax', 'ao']	8193	3851	899	9941	11016
t	y	['d', 'ao']	8193	2294	1000	4051	9545
v	g	['ax', 'eh']	8824	2741	1005	1531	11211
l	r	['eh', 's']	0188	0511	1070	5801	11225
t	l	['t', 'eh']	0188	6895	1103	4179	7032
z	g	['d', 'ao']	2294	2741	1104	9937	2809
n	w	['g', 'ih']	5189	4926	1153	9579	488
p	y	['ax', 'ao']	5189	1571	1159	6506	10074
f	y	['ax', 'ao']	6509	1571	1307	7973	8558
n	w	['ax', 'ao']	5802	6895	1350	9895	10554
s	v	['ah', 'b']	8824	0188	1390	7172	3754
n	f	['ih', 'hh']	3851	1571	1558	2996	9383
g	f	['ax', 'ae']	5189	6509	1565	8733	10251
aa	s	['b', 't']	4926	5802	1594	7426	8482
p	d	['v', 'ih']	1571	5802	1612	5969	9823
b	y	['t', 'ao']	6895	5189	1658	5043	9426
t	b	['v', 'ih']	5802	8193	1697	8145	8300
v	p	['ae', 's']	6895	1571	1794	9629	9672
g	y	['d', 'ao']	6509	3851	2007	4463	10498
r	y	['d', 'ao']	1571	3347	2090	8457	9100
w	z	['d', 'ao']	2294	6895	2099	7119	11213
m	p	['eh', 'ax']	8193	4926	2102	9125	9111
n	y	['g', 'ax']	6509	8824	2158	7245	10156
hh	r	['eh', 'ax']	4926	6895	2172	8593	2910
s	d	['eh', 'hh']	3851	0188	2229	915	4540
l	s	['eh', 'hh']	0188	4926	2314	4491	1266
l	k	['ih', 'ao']	8824	5189	2326	10965	10237
t	aa	['k', 't']	6895	3851	2393	5861	10846
y	v	['d', 'eh']	6509	4926	2416	4866	7240
y	b	['t', 'ao']	5189	3347	2488	9426	6416
p	w	['s', 'eh']	0511	0188	2617	858	11085
g	d	['eh', 'z']	6509	6895	2675	10661	10863
d	y	['t', 'eh']	3347	2741	2686	7827	6694
w	p	['ax', 'uh']	1571	6895	2726	5446	9601
m	w	['s', 'eh']	3347	6895	3148	10409	10869
n	y	['t', 'ih']	3347	1571	3184	6598	8446
v	y	['z', 'eh']	5802	0511	3511	585	8926
v	g	['t', 'ih']	2294	8824	3882	6427	449
m	s	['eh', 'hh']	0188	3347	4273	11011	10025
d	g	['eh', 'z']	6895	6509	4296	10863	10661
p	r	['eh', 's']	2294	2741	4459	11091	8322
s	aa	['t', 'p']	5802	2741	4544	6332	11049
hh	y	['ax', 'ao']	5189	8824	4672	9298	10006
g	hh	['s', 'ih']	6895	1571	4711	537	5021
b	g	['t', 'aa']	5802	6509	4783	6859	4209
v	y	['d', 'eh']	6509	2294	4866	2416	5106
v	w	['s', 'eh']	2294	0188	4876	1078	7997
b	y	['t', 'ih']	5189	2741	5164	6667	11221
m	y	['d', 'ao']	6509	6895	5494	9365	8364
r	v	['ih', 'hh']	0188	2294	5593	8493	9711
y	d	['ax', 'ao']	5189	6509	5754	7917	10713
v	s	['ah', 'b']	8824	3347	6033	9387	10807
g	v	['t', 'ih']	2294	4926	6427	3882	8840
d	y	['ax', 'ao']	5189	3851	6457	5754	6310
y	n	['t', 'ih']	3347	5189	6598	3184	11037
g	b	['t', 'aa']	5802	0188	6859	4783	5585
l	y	['d', 'ao']	1571	4926	6962	185	10357
s	aa	['b', 't']	4926	3347	7426	1594	10414
p	y	['t', 'ih']	5189	2294	8353	7428	10132
v	r	['ih', 'hh']	0188	4926	8493	5593	8544
t	aa	['ax', 'p']	2294	8824	8598	9974	1310
n	g	['eh', 'z']	3851	8193	8817	9785	8850
z	r	['g', 'ih']	1571	6895	8837	338	9256
b	w	['s', 'eh']	3347	5802	8936	9820	9482
b	g	['d', 'ao']	3851	0188	9527	8896	5317
w	n	['g', 'ih']	5189	8824	9579	1153	1774
s	y	['d', 'ao']	8193	6895	9658	7698	10578
aa	t	['ax', 'p']	2294	4926	9974	8598	6050
k	y	['d', 'ao']	8193	5802	10708	6098	7225
