TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
ʁ	ø	['t', 'a']	M01_O	F05_N	738	11751	25679
v	k	['e', 'ɛ']	M10_O	M10_N	763	22638	22705
z	n	['ɛ', 'ɔ']	M07_N	F01_O	766	3672	20655
m	ɲ	['a', 'i']	F10_O	M02_O	770	16628	24665
y	w	['s', 'a']	F01_O	M04_O	781	22968	18843
d	j	['t', 'e']	F06_N	M04_O	784	18930	23921
k	o	['ɛ', 't']	F02_O	F02_N	810	16418	25695
p	n	['ɔ', 'i']	M10_O	M07_N	811	10717	23342
ø	i	['p', 'k']	M10_N	M02_O	812	20352	9343
y	o	['s', 'd']	F01_N	M04_O	813	12490	23232
k	p	['e', 'ɛ']	M04_O	F06_O	815	18933	26037
ɛ	l	['i', 's']	M10_O	M02_O	838	15803	14394
v	ʃ	['e', 'a']	M04_O	M10_O	841	24682	26034
ʁ	ʃ	['e', 'ɛ']	F06_O	M07_O	843	8100	25171
t	f	['ɔ', 'i']	M07_N	M07_O	854	21239	23781
ʒ	k	['ə', 'u']	M04_O	M02_O	862	12823	22094
s	b	['ɔ', 't']	F01_N	F01_O	870	13585	23435
j	ø	['d', 'a']	M08_N	F06_O	876	21923	20530
i	e	['p', 's']	F10_O	M08_N	877	21207	25152
ʒ	l	['i', 'ɛ']	F02_O	M04_O	881	25819	21622
ɛ	k	['s', 'a']	F10_O	M02_O	886	25440	21142
o	m	['ɛ', 't']	F05_N	M10_N	905	13626	20360
ʃ	a	['a', 't']	F03_O	F05_N	920	6852	16828
n	a	['i', 'a']	F05_N	M10_O	937	20699	24464
ʁ	e	['t', 'e']	F06_O	F10_O	956	10138	25760
d	ʁ	['u', 'ə']	F06_N	M10_N	965	19241	23772
m	k	['ə', 'u']	F10_O	F02_N	969	22576	20425
n	p	['ə', 'u']	F05_N	M04_O	970	22555	25218
f	v	['u', 'ə']	M10_O	F06_N	990	2291	437
i	k	['s', 'd']	F02_O	F06_O	1000	23805	25739
p	ʁ	['e', 'e']	F06_O	F02_N	1021	6740	21669
ɲ	t	['i', 'd']	F01_N	F02_O	1032	5484	18113
k	ɡ	['e', 'a']	M08_N	F03_O	1043	18443	25392
ʁ	l	['k', 'a']	M04_O	M07_O	1049	19874	24812
ɛ	ə	['s', 'd']	F10_O	F02_O	1057	13067	25446
ʒ	ʁ	['ɔ', 'i']	F06_N	M10_O	1081	10015	23253
v	z	['i', 'a']	M10_N	F01_N	1108	18509	25987
e	w	['ʃ', 'a']	F01_O	M02_O	1113	2446	20534
e	ø	['d', 'p']	F01_N	F02_N	1124	17698	25421
a	l	['b', 'd']	F06_O	M04_O	1132	17377	9861
t	o	['s', 'd']	F03_O	F10_O	1134	22363	20628
y	ʁ	['t', 'ɛ']	F06_N	M10_N	1149	23811	22931
d	e	['s', 'e']	F01_N	F10_O	1162	19671	24089
v	m	['ɔ', 'i']	M10_O	M04_O	1171	16669	22817
d	b	['ə', 'u']	M04_O	M10_O	1175	7272	19842
ø	o	['d', 'f']	F06_O	M10_O	1185	17811	23330
ɛ	f	['t', 'a']	F05_N	F02_N	1200	21757	23879
w	i	['ʒ', 'a']	F06_O	M07_N	1202	14560	24934
a	o	['b', 't']	F02_O	F06_O	1221	19461	25304
z	b	['a', 'ɛ']	M08_N	F06_O	1223	21454	17261
p	o	['t', 'a']	M04_O	M07_N	1236	8415	23281
ɛ	f	['s', 'ɛ']	M07_N	M10_O	1240	4599	2154
l	ɔ	['i', 't']	M08_N	M10_O	1321	16693	19699
j	ɛ	['s', 'e']	M07_N	F02_N	1335	1902	25395
t	u	['ʒ', 'e']	M04_O	F02_N	1350	14273	14285
t	ɡ	['i', 'e']	M07_N	M10_N	1363	14490	26010
t	ʃ	['i', 'a']	F02_O	M07_O	1417	8366	24828
ʃ	z	['i', 'ɛ']	F03_O	F06_O	1477	19549	20299
j	w	['s', 'a']	M02_O	M07_N	1483	19822	21065
i	d	['ʒ', 'e']	M02_O	F02_O	1487	22901	25644
n	l	['u', 'ə']	F01_O	F10_O	1518	13261	11718
k	e	['s', 'a']	F10_O	F05_N	1519	8121	22457
z	ɡ	['ɛ', 'ɛ']	F05_N	F02_O	1528	5924	15254
l	ɡ	['i', 'a']	M01_O	M07_N	1555	23391	25629
ɔ	ə	['d', 's']	M01_O	M02_O	1618	25133	7899
n	z	['i', 'ɛ']	F05_N	F02_O	1630	23154	25579
k	a	['a', 's']	F02_O	F03_O	1652	18455	19095
ʁ	ɛ	['v', 'a']	F03_O	M07_N	1667	17491	25975
ɔ	a	['p', 'k']	F06_N	F02_N	1675	22346	25918
s	ə	['k', 's']	M08_N	F02_O	1694	23168	25262
e	l	['ʒ', 'a']	F03_O	M08_N	1705	8691	25330
k	o	['t', 'a']	M02_O	F02_N	1714	20725	22580
u	o	['b', 't']	F02_O	M04_O	1779	2874	18245
p	i	['s', 'ɛ']	M10_N	F02_N	1794	20704	25387
s	u	['t', 'e']	M04_O	F06_O	1800	23506	6363
l	y	['b', 's']	F10_O	M07_N	1801	12435	22861
u	i	['p', 's']	F10_O	F06_O	1803	23454	24544
w	y	['t', 'a']	M02_O	M08_N	1804	21028	23430
i	s	['k', 't']	M02_O	M10_O	1808	12819	25948
ʁ	ɡ	['i', 'e']	F01_N	F06_N	1876	15561	25232
ɛ	j	['s', 'e']	M07_N	F01_N	1902	19940	2571
u	w	['v', 'a']	M04_O	F01_O	1905	21896	25089
ɡ	ʃ	['ə', 'a']	F03_O	F06_O	1943	14524	23905
j	ə	['s', 'ɛ']	F06_O	F03_O	1984	171	25999
l	v	['u', 'ə']	F02_N	M07_O	1997	18452	25852
u	w	['t', 'a']	F06_O	F02_O	2004	11029	25519
y	i	['b', 't']	M02_O	M07_N	2012	13770	21995
b	ɡ	['ə', 'a']	F02_O	M08_N	2016	5469	15675
ʃ	m	['ɔ', 'd']	M10_N	F02_N	2025	20490	17105
ɲ	j	['a', 'i']	F02_O	F10_O	2026	15941	24207
b	k	['ɔ', 's']	F10_O	F02_N	2035	2084	25838
y	j	['t', 'e']	F05_N	F01_N	2061	12150	25078
k	b	['ɔ', 's']	F10_O	F02_O	2084	22441	24910
ø	l	['p', 'd']	F06_N	M01_O	2096	9151	19816
u	o	['s', 'd']	M04_O	M01_O	2109	21371	16941
l	a	['b', 'd']	F06_O	M01_O	2138	1132	24508
j	ɡ	['a', 'ɛ']	M04_O	F06_O	2147	10161	23990
ʒ	ɲ	['a', 'i']	F02_O	M01_O	2159	19579	23514
ʒ	j	['a', 'e']	F03_O	F02_O	2165	19480	25880
s	y	['t', 'ɛ']	F06_N	M04_O	2172	21795	21954
m	ʃ	['i', 'ɛ']	M01_O	M07_N	2184	11308	22609
l	j	['ʒ', 'a']	F03_O	F02_N	2188	2480	8033
i	j	['s', 'ɛ']	M01_O	M07_N	2211	12124	19687
m	k	['ɔ', 't']	M02_O	M04_O	2232	7887	25793
i	l	['b', 'd']	F06_N	F10_O	2241	22913	13435
v	f	['u', 'ə']	M10_O	F02_N	2291	990	23471
b	ʃ	['a', 'ɛ']	F06_N	F10_O	2320	22451	25713
e	s	['ə', 't']	M04_O	M01_O	2333	7510	2968
p	i	['k', 'a']	F01_O	M07_N	2349	15563	17260
m	ɡ	['i', 'a']	F02_O	F10_O	2369	25775	25719
ɡ	j	['a', 'ɛ']	M10_O	F02_O	2387	14740	15876
n	e	['t', 'e']	F01_O	M07_N	2426	16233	13032
ʁ	w	['f', 'a']	M04_O	M08_N	2430	13717	23937
w	e	['ʃ', 'a']	F01_O	M04_O	2446	7267	14987
j	l	['ʒ', 'a']	F03_O	M07_N	2480	2188	19577
e	n	['d', 'a']	M10_O	M01_O	2575	5939	25989
ʁ	ɡ	['ɛ', 'ɛ']	F05_N	M04_O	2579	13823	25929
j	u	['v', 'ɛ']	M08_N	F01_O	2581	16785	17785
ɛ	z	['i', 'd']	F01_O	M10_N	2583	3654	21532
t	i	['k', 'a']	F06_N	F02_N	2592	14447	22323
z	ɛ	['e', 'ɛ']	F06_N	M02_O	2593	12069	23181
k	ɛ	['s', 'd']	F02_O	M10_N	2604	24711	14973
u	w	['k', 'a']	M08_N	F06_O	2643	25993	14313
e	o	['u', 't']	M08_N	F03_O	2654	12189	23290
z	d	['o', 'ɛ']	F10_O	F02_O	2659	3948	18868
ø	y	['p', 's']	M01_O	F06_O	2692	24471	24387
ʁ	z	['o', 'ɛ']	F10_O	M01_O	2706	11562	24264
p	n	['i', 'i']	M07_O	F02_O	2766	25339	17548
ʒ	ɡ	['i', 'e']	F03_O	F01_N	2810	4168	20518
ʃ	v	['ə', 'ə']	M01_O	M02_O	2812	3932	17678
n	b	['ɔ', 's']	F03_O	M04_O	2819	25042	14863
f	k	['ə', 'u']	F02_N	M07_O	2846	22887	22053
i	ʁ	['d', 'p']	F03_O	M10_O	2856	19737	24746
j	m	['ɛ', 'ɔ']	F01_O	M10_N	2884	15164	12980
k	y	['d', 'i']	M07_O	F01_O	2981	14459	25313
ɛ	w	['v', 'a']	F05_N	F01_N	3017	25511	19255
ø	e	['d', 'p']	F01_N	F02_O	3081	25900	21258
y	ʁ	['f', 'a']	M10_O	M04_O	3095	7108	24260
ʃ	a	['u', 'k']	F06_O	M07_N	3125	6184	312
p	ɡ	['ɛ', 'ɛ']	F05_N	M07_N	3131	17966	20333
p	ɛ	['v', 'a']	F05_N	M07_O	3164	11115	4333
e	ɔ	['k', 's']	F01_O	F06_O	3192	16192	19519
l	ɛ	['i', 's']	M10_O	M08_N	3202	838	25692
ʁ	o	['a', 's']	M08_N	M07_N	3208	20842	26012
y	m	['d', 'i']	F06_O	M04_O	3217	17426	26033
ɡ	k	['e', 'a']	F02_N	M04_O	3243	5367	25258
l	ʃ	['e', 'ɛ']	M08_N	M07_O	3262	2747	25921
o	ʁ	['d', 's']	F03_O	M07_O	3277	4378	15565
ʁ	ə	['d', 's']	F01_O	M08_N	3286	23652	19343
n	ɲ	['i', 'd']	M08_N	F02_N	3328	17655	24480
d	j	['i', 'ɛ']	F02_N	M04_O	3357	19917	21684
b	ʁ	['ɔ', 't']	F01_O	F01_N	3358	24397	24685
f	w	['s', 'a']	F02_O	F06_N	3422	21040	13870
b	t	['a', 's']	M04_O	M10_O	3454	20569	10286
u	s	['t', 'e']	F02_O	M04_O	3486	4055	23506
e	k	['i', 'k']	M10_O	M02_O	3499	13692	25523
o	ø	['p', 'd']	M02_O	F02_N	3621	18059	24376
u	ɔ	['t', 'd']	M07_N	F06_O	3637	23419	24462
z	ɛ	['i', 'd']	F01_O	M10_N	3654	2583	26035
n	z	['ɛ', 'ɔ']	M07_N	F01_N	3672	766	11205
w	l	['e', 'a']	F10_O	F02_O	3713	25297	18900
v	j	['a', 'e']	M01_O	M08_N	3739	25916	24626
b	f	['e', 'ɛ']	M10_O	M01_O	3764	8957	14692
t	y	['s', 'a']	M04_O	F06_N	3789	5490	24549
t	j	['t', 'ɛ']	F03_O	F06_N	3801	13830	17513
d	ɡ	['i', 'a']	F01_O	F06_N	3806	22906	23175
ɔ	l	['i', 'b']	F10_O	M07_N	3808	14929	6928
s	a	['b', 't']	M04_O	M10_O	3860	23126	25744
u	j	['v', 'ɛ']	F01_O	M02_O	3880	17785	21841
s	ʃ	['ə', 'ə']	M01_O	M10_O	3915	3139	25704
ʁ	a	['b', 't']	F10_O	M04_O	3917	16763	20554
ɛ	t	['k', 's']	F02_N	M10_O	3922	10438	22666
e	ɔ	['p', 't']	F02_O	F01_N	3923	4148	25997
v	ʃ	['ə', 'ə']	M01_O	F02_N	3932	2812	24642
d	z	['o', 'ɛ']	F10_O	M08_N	3948	2659	8382
m	e	['s', 'ɛ']	F06_N	F10_O	3953	23743	15302
l	ø	['p', 'd']	F06_N	F01_N	3954	2096	17036
ʁ	ə	['d', 'p']	M04_O	F01_O	3973	22146	25599
u	ɔ	['d', 's']	M01_O	F06_N	4021	24168	24224
m	o	['t', 'a']	F01_O	M07_N	4144	12396	13822
ɔ	e	['p', 't']	F02_O	M07_O	4148	3923	18962
ø	ɔ	['p', 't']	F02_O	M01_O	4173	8774	25974
ɛ	w	['f', 'a']	F06_O	M07_O	4221	22912	22864
b	ʃ	['ə', 'ɛ']	F02_O	M07_N	4268	15813	16483
f	a	['ɛ', 'ɛ']	F10_O	M10_O	4327	21666	25445
o	ɔ	['k', 's']	F03_O	M10_O	4392	16899	25780
m	ʃ	['ɔ', 'd']	F02_O	M07_N	4487	8140	24180
ɛ	i	['p', 'k']	M10_N	M04_O	4505	11425	24805
ɔ	s	['i', 't']	M08_N	M10_O	4507	15945	6660
s	ɔ	['i', 't']	M10_O	F06_O	4517	6660	25559
m	e	['i', 's']	F02_O	M07_N	4540	6101	13046
e	l	['b', 'd']	F06_N	F10_O	4546	23957	19145
n	ɡ	['i', 'e']	F01_N	M04_O	4562	8887	25776
f	ɛ	['s', 'ɛ']	M07_N	M07_O	4599	1240	21377
a	ʃ	['ɛ', 'a']	F06_N	F05_N	4600	17124	2920
ʁ	ʃ	['ɔ', 'd']	F02_O	M10_N	4616	25040	25781
ɛ	ʁ	['t', 'ɛ']	F02_O	M02_O	4638	18984	17242
p	e	['s', 'e']	F01_N	M07_N	4648	24484	23982
ʃ	ɡ	['ə', 'a']	F01_N	M08_N	4682	23533	20327
f	ʃ	['u', 'ɛ']	M01_O	M08_N	4752	25716	14107
l	ə	['k', 'ɛ']	F02_O	M02_O	4756	24887	21647
ɔ	l	['p', 'ɛ']	M10_N	M07_N	4833	24183	17462
f	y	['t', 'a']	F06_O	F05_N	4879	11068	21412
t	ɲ	['ɛ', 'd']	F10_O	F03_O	4938	12514	25907
j	ø	['d', 'ɔ']	M07_N	M10_O	4953	21786	4357
e	ʒ	['a', 't']	F10_O	M10_O	5069	9277	21866
ɲ	l	['a', 'd']	M08_N	F06_N	5127	21746	22520
m	ʃ	['ə', 'ə']	M02_O	F01_O	5145	9015	24659
z	ɡ	['i', 'e']	F03_O	F10_O	5172	5022	26024
ə	ɔ	['p', 't']	M07_O	M04_O	5214	17773	25250
a	ʒ	['a', 'd']	F06_O	M04_O	5244	14258	22715
m	ɡ	['a', 'ɛ']	M10_O	M08_N	5288	13803	26005
a	j	['t', 'ɛ']	F10_O	F06_N	5297	17268	25414
ʒ	a	['a', 'd']	M04_O	F03_O	5331	22715	25379
a	f	['e', 'ɛ']	F02_O	F06_O	5374	23005	14753
y	l	['p', 'd']	F06_N	F03_O	5397	24667	23524
f	z	['ɛ', 'ɔ']	F03_O	F02_O	5461	24949	24565
t	ɲ	['i', 'd']	F01_N	F06_N	5484	1032	13657
l	ɲ	['a', 'd']	M08_N	F01_O	5608	25661	23855
a	z	['i', 'd']	F06_O	F05_N	5649	7218	25653
d	i	['ʒ', 'e']	F01_N	F06_O	5650	18271	24766
l	ə	['k', 'd']	F06_O	F01_N	5694	19667	20112
ə	t	['k', 'a']	M01_O	M10_O	5702	6436	22621
ʒ	j	['s', 'e']	F02_O	F01_O	5716	7319	23846
l	k	['ɔ', 't']	F06_N	M07_O	5723	21260	25344
a	f	['ɛ', 'ɛ']	F06_O	F10_O	5739	16450	21666
z	ɲ	['a', 'i']	F02_N	M07_O	5814	3140	15202
n	e	['d', 'a']	M10_O	M07_O	5939	22465	17503
s	ɡ	['i', 'e']	F03_O	F05_N	6014	3966	24118
d	i	['k', 'e']	F06_O	M07_N	6021	10580	21697
e	m	['i', 's']	F02_O	F05_N	6101	4540	16595
m	ɲ	['a', 'd']	F06_N	M07_O	6165	5263	25398
a	ʃ	['u', 'k']	F06_O	M01_O	6184	19439	23448
l	w	['f', 'a']	M08_N	M04_O	6205	12846	24712
z	b	['o', 'a']	M04_O	F06_O	6234	21221	25522
d	ɲ	['a', 'i']	F02_O	F06_N	6320	25940	24359
y	p	['s', 'ɛ']	F01_N	F02_N	6468	3760	17863
a	p	['s', 'a']	F05_N	F06_O	6578	21520	16554
f	e	['i', 'k']	M02_O	F06_N	6580	14030	11612
ø	w	['p', 'a']	F03_O	M07_N	6683	19494	13505
p	o	['ɛ', 't']	F02_O	F02_N	6692	25310	23073
ʁ	o	['u', 't']	F01_O	F05_N	6738	21071	21460
k	ɡ	['i', 'a']	M01_O	F10_O	6778	3386	25199
d	ʃ	['e', 'a']	M04_O	F02_O	6809	24087	25161
a	ʃ	['a', 't']	F03_O	F01_N	6852	920	17471
l	o	['ɛ', 't']	F06_O	M10_O	6871	10076	18977
ɲ	ʁ	['i', 'k']	F01_N	M07_N	6872	3512	18399
n	j	['t', 'ɛ']	F06_O	M01_O	6881	16656	20235
o	s	['t', 'a']	M04_O	F01_O	6965	23669	25311
ɔ	ʁ	['ɛ', 'p']	M07_O	F01_O	6999	25314	14694
z	ʃ	['a', 'e']	F03_O	F01_N	7118	25832	4730
a	ɛ	['z', 'k']	M02_O	M10_O	7128	12920	24485
ə	l	['k', 'ɛ']	F02_O	M07_N	7213	12204	10488
n	ɛ	['v', 'ɛ']	F06_N	F02_O	7219	20621	10205
k	ɲ	['i', 'd']	M07_N	M10_N	7248	9046	25878
s	ɲ	['i', 'k']	M10_N	F03_O	7400	25733	23415
s	e	['ə', 't']	M04_O	F06_N	7510	2333	26020
a	p	['i', 'a']	M08_N	F05_N	7645	7700	9594
e	z	['ø', 't']	F02_O	M01_O	7716	20438	2995
o	p	['a', 't']	M01_O	F03_O	7730	8847	18826
j	ɲ	['i', 'd']	M08_N	M01_O	8144	16049	20584
t	ʃ	['a', 'e']	M04_O	F01_O	8167	5486	26001
d	ɛ	['t', 'i']	F10_O	F03_O	8245	12721	5130
d	ɡ	['i', 'e']	M07_N	M01_O	8435	14219	25934
ɛ	p	['ɔ', 't']	M10_N	M07_N	8480	25156	25628
o	t	['ɛ', 'f']	M04_O	M01_O	8490	11875	16453
ʃ	b	['a', 'ɛ']	F06_N	M07_O	8491	2320	19626
u	l	['k', 'd']	F06_O	F01_O	8533	25597	23238
s	o	['t', 'a']	F01_O	M04_O	8569	25311	23669
s	z	['o', 'ɛ']	F02_O	M04_O	8660	24310	22061
e	z	['i', 'p']	F02_O	F01_N	8829	681	24985
p	o	['a', 't']	M01_O	M02_O	8847	7730	14630
ʁ	i	['b', 'd']	M02_O	F01_N	8879	5403	24861
ɡ	l	['ɛ', 'z']	F03_O	F06_O	8891	17478	25376
ø	ʁ	['t', 'a']	M10_O	M01_O	9000	23762	11751
m	z	['ɛ', 'ɔ']	M07_N	F01_O	9024	15195	23739
ɔ	i	['b', 't']	F02_N	F03_O	9216	17861	12707
