TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
ø	ɛ	['p', 's']	M07_N	F06_O	160	20183	22420
e	ø	['d', 'p']	F02_O	F05_N	164	3992	25812
d	t	['ɔ', 'i']	F03_O	M07_N	167	9193	25570
y	f	['s', 'a']	F01_O	M04_O	170	11150	14347
ʒ	z	['i', 'i']	M10_O	F01_N	171	16179	25651
ɡ	p	['ə', 'u']	F03_O	M04_O	181	25707	12927
a	ɛ	['p', 's']	M07_N	M01_O	184	19694	24913
m	d	['e', 'e']	M10_N	F01_O	186	4305	25686
l	f	['i', 'i']	M08_N	F02_O	193	3436	25431
l	ə	['k', 'a']	F02_N	M10_N	194	3399	24402
k	ʃ	['ə', 'ə']	M01_O	M08_N	204	12233	24604
n	v	['i', 'i']	F01_O	F10_O	205	17866	25053
w	e	['v', 'a']	F10_O	M07_O	214	20133	25633
a	f	['i', 'ɛ']	F02_N	F02_O	215	25619	16206
f	t	['ɔ', 'i']	M07_N	F10_O	216	18859	25639
a	j	['p', 'e']	F10_O	F02_N	222	18211	16812
u	ɛ	['v', 'e']	F06_O	F03_O	223	5162	14718
s	p	['ɔ', 'i']	F02_N	F10_O	230	8579	19675
ɛ	j	['t', 'e']	M01_O	F06_N	231	3931	18063
k	i	['s', 'ɛ']	M07_N	M10_O	234	22084	14571
v	ɡ	['ə', 'u']	F01_O	M08_N	235	15415	25526
i	j	['s', 'a']	F02_N	M01_O	238	13331	20531
d	ʒ	['i', 'i']	F06_N	M04_O	246	6729	23399
t	k	['ə', 'u']	M04_O	M10_O	249	18713	25813
t	j	['t', 'ɛ']	F03_O	F06_N	250	18538	21567
e	i	['k', 'a']	F01_O	M07_N	252	22358	13835
ʁ	d	['ɔ', 'i']	F10_O	M01_O	259	21120	25461
u	i	['p', 's']	F01_N	F06_N	263	25234	25079
ə	ɔ	['d', 's']	M01_O	F05_N	267	1100	25825
ʒ	ɲ	['a', 'd']	M08_N	F02_O	272	24445	22344
ʁ	k	['ɔ', 't']	M01_O	F06_O	273	20282	25932
p	ʃ	['e', 'a']	F02_O	F01_N	277	11110	25800
u	w	['v', 'a']	F06_N	F06_O	280	20044	15311
f	t	['i', 'i']	F02_N	F06_O	281	17051	25897
n	k	['ə', 'u']	F10_O	F03_O	293	18804	25185
t	ə	['k', 'a']	M01_O	F02_N	294	5936	21930
s	e	['t', 'e']	M04_O	F10_O	296	24642	21267
d	ʃ	['a', 'e']	M08_N	M07_N	298	5762	25297
n	m	['e', 'e']	F10_O	F02_O	303	1250	25685
ø	ʁ	['t', 'a']	M10_O	M01_O	310	25520	13537
ʒ	v	['ɔ', 'i']	M10_O	F05_N	312	9547	25552
s	ʃ	['i', 'ɛ']	F01_N	F10_O	321	20674	24384
ʁ	ə	['k', 'a']	M10_O	M04_O	323	24393	25640
ʁ	j	['p', 'e']	F06_N	F06_O	326	8681	25588
i	ɛ	['d', 't']	M04_O	M02_O	334	1954	24930
ʒ	e	['a', 't']	F10_O	F01_N	340	11413	16847
s	ʁ	['e', 'e']	F01_N	F03_O	350	17296	25317
o	ɔ	['k', 's']	F03_O	F05_N	359	11463	22407
s	ʃ	['ə', 'ə']	M02_O	F03_O	372	4622	25547
ʃ	p	['e', 'a']	F10_O	M10_O	382	21399	24804
a	s	['k', 's']	F02_O	F06_O	395	17524	24813
ʁ	t	['i', 'i']	F03_O	M04_O	402	19134	23417
w	l	['e', 'a']	M10_N	F02_O	412	3795	16071
u	o	['d', 't']	M10_N	M04_O	418	3052	23745
w	l	['k', 'a']	M07_N	F10_O	423	10684	25577
ɔ	o	['e', 'd']	M01_O	F01_O	427	6484	19238
y	l	['p', 'd']	F06_N	F03_O	429	24484	13163
m	l	['ɔ', 'i']	F06_N	M08_N	434	25666	19837
ɔ	u	['p', 's']	F10_O	F01_O	435	23692	25591
e	k	['s', 'a']	F10_O	M01_O	437	23754	24253
o	ʁ	['t', 'f']	F06_O	M07_O	438	21502	10305
i	ʁ	['k', 'a']	F01_O	M01_O	448	17194	22230
t	z	['i', 'ɛ']	M08_N	F03_O	452	8313	25923
s	ə	['k', 't']	F03_O	F05_N	470	5789	23420
k	e	['s', 'a']	F10_O	F06_N	475	437	25269
ʃ	ʒ	['e', 'u']	F03_O	M04_O	477	11098	21688
i	w	['ʒ', 'a']	M07_N	F02_N	487	11028	22351
y	u	['d', 't']	M08_N	F01_O	488	17365	25408
l	j	['i', 'ɛ']	F02_N	F10_O	495	1639	25696
e	o	['d', 's']	M07_O	M08_N	504	12047	25158
b	d	['ə', 'ə']	M04_O	M07_N	508	4205	20319
l	a	['p', 'e']	M10_O	M08_N	514	1700	25084
ø	a	['p', 'ɛ']	F06_O	F02_O	524	13124	6511
j	z	['i', 'ɛ']	M08_N	F02_O	540	16077	23937
a	e	['d', 't']	F03_O	F08_O	550	13688	24618
m	a	['i', 'a']	M08_N	F05_N	559	11099	25822
ɛ	s	['u', 's']	F03_O	F01_N	563	12051	14121
p	i	['s', 'ɛ']	M01_O	M04_O	568	14436	25474
w	ʁ	['f', 'a']	M08_N	M02_O	575	10608	24909
ʒ	ʃ	['a', 'e']	M08_N	M02_O	576	18821	24892
ɛ	t	['u', 'd']	M04_O	M07_O	584	1126	21235
n	d	['ɔ', 'i']	M02_O	M04_O	598	13850	22638
ø	ɛ	['d', 't']	F03_O	M07_N	600	11451	11155
m	e	['i', 's']	F02_O	M07_N	632	7893	25792
b	k	['o', 'u']	M08_N	F05_N	633	22448	22637
ʃ	t	['u', 'd']	F02_N	M01_O	640	6353	21966
w	i	['s', 'a']	M01_O	F06_O	649	21991	24996
k	f	['e', 'ɛ']	F02_O	M10_N	652	19769	22508
ɛ	ʁ	['v', 'e']	M10_O	F06_O	655	17118	22034
a	i	['b', 't']	F01_N	F06_N	668	14670	25290
k	d	['i', 'i']	F06_N	F03_O	669	17819	25481
k	m	['o', 'u']	F10_O	F01_O	670	13786	22600
ʁ	ɲ	['a', 'd']	F06_N	F05_N	671	10253	25793
t	ɛ	['k', 's']	F02_N	M10_N	693	2287	2227
ø	l	['d', 'a']	F02_N	M07_N	702	16166	24351
j	ʃ	['a', 'e']	F03_O	M07_O	703	10143	24674
j	ø	['d', 'a']	M08_N	F06_O	704	11256	24455
m	y	['d', 'i']	F06_O	F10_O	715	14357	25338
ɛ	n	['v', 'ɛ']	F06_N	M02_O	721	24190	18896
ɲ	s	['i', 'k']	M07_N	M10_N	723	6944	17272
b	n	['ɔ', 'i']	M10_N	F06_O	727	8236	25612
l	k	['ɔ', 't']	M02_O	F01_N	734	24278	16284
a	p	['s', 'a']	F06_O	F03_O	759	21024	17485
j	w	['s', 'a']	M10_O	F01_N	778	25368	23203
i	s	['k', 't']	F10_O	M02_O	786	12730	23855
ʁ	w	['v', 'a']	F06_O	F03_O	792	25832	23132
ø	e	['s', 'd']	M07_N	F06_N	822	24477	4914
s	v	['ə', 'u']	F02_O	M04_O	826	23232	25527
m	z	['ɛ', 'ɔ']	F01_O	M04_O	830	24675	22818
d	ʃ	['e', 'a']	F02_O	F03_O	841	21824	16205
m	ʒ	['ə', 'u']	M07_O	F02_N	843	12822	24267
l	ɡ	['ɛ', 'z']	M04_O	F03_O	876	13073	24720
a	v	['ɛ', 'p']	M07_O	M10_N	907	7146	22759
p	ʃ	['u', 'd']	M01_O	F10_O	914	17738	17285
ə	ʁ	['d', 'p']	F01_O	M07_N	952	18349	25938
y	a	['p', 's']	M01_O	M08_N	959	22177	24911
p	a	['s', 'a']	F03_O	F01_N	961	17485	25574
l	o	['a', 't']	M10_N	F06_N	970	12526	24396
ɡ	k	['e', 'a']	M07_N	F03_O	986	10650	25926
o	l	['b', 'd']	F02_O	M07_N	1001	22422	22702
i	t	['k', 's']	M10_N	F03_O	1014	9250	24738
l	ʁ	['p', 'ɛ']	F03_O	F01_O	1035	4923	25602
z	e	['i', 'd']	M08_N	M10_N	1036	4182	24088
j	ɛ	['s', 'e']	M07_N	F02_N	1046	1141	23130
d	j	['t', 'e']	F06_N	M10_O	1088	21077	24447
ɔ	ə	['d', 's']	M01_O	M02_O	1100	24472	19012
ɛ	z	['i', 'd']	F01_O	M10_N	1101	8176	22869
p	j	['i', 'a']	M01_O	M04_O	1107	2862	25020
ɡ	m	['i', 'a']	F02_O	F06_O	1111	25433	20300
t	ɛ	['u', 'd']	M04_O	M10_O	1126	584	25964
ʃ	l	['i', 'ɛ']	F01_N	F03_O	1127	8580	14039
n	j	['i', 'ɛ']	F02_N	M10_N	1131	3678	24774
ɛ	j	['s', 'e']	M07_N	F01_N	1141	24337	9680
p	d	['i', 'i']	M07_O	F02_O	1142	14362	19330
n	ɡ	['i', 'e']	M07_N	M04_O	1160	18928	25848
v	ʃ	['e', 'a']	M04_O	M01_O	1164	19667	23881
z	ɡ	['ɛ', 'ɛ']	F05_N	M10_O	1165	101	24478
t	u	['s', 'f']	F05_N	F02_N	1172	19181	25218
v	j	['a', 'e']	F01_O	F01_N	1181	24807	25517
l	i	['b', 'd']	F10_O	F06_O	1201	13999	24459
ɛ	ɔ	['k', 's']	F03_O	F02_N	1204	8260	25116
ø	y	['d', 'p']	M02_O	F01_N	1216	6243	14129
f	ɡ	['i', 'e']	M07_N	F02_O	1222	23868	18890
v	z	['i', 'ɛ']	F06_O	M07_O	1236	18558	25133
ʃ	l	['ə', 'ə']	M02_O	M01_O	1269	24465	3292
p	e	['s', 'e']	F10_O	M10_N	1275	25155	23847
f	z	['ɛ', 'ɔ']	M07_N	F02_O	1284	12306	15822
e	i	['p', 's']	F10_O	M02_O	1286	19955	24665
o	p	['ɛ', 't']	F02_O	F06_O	1290	14250	24243
ɔ	a	['p', 'ɛ']	M07_N	M10_N	1311	25874	10334
f	ʃ	['u', 'ɛ']	M08_N	F01_N	1358	2110	23875
k	ɲ	['i', 'd']	M07_N	M10_O	1359	10053	16740
ɡ	b	['ə', 'a']	M08_N	F02_N	1381	7889	25858
s	ə	['k', 'k']	M07_N	F10_O	1414	20680	17943
i	y	['p', 's']	F03_O	M10_O	1418	7914	21050
ɛ	j	['v', 'a']	F03_O	F05_N	1420	16283	22742
t	ɡ	['i', 'a']	F01_O	M08_N	1431	3372	25842
u	s	['k', 's']	M08_N	M02_O	1436	3269	24347
k	ɛ	['s', 'd']	F02_O	M10_N	1484	5025	25108
d	b	['ə', 'ə']	F06_N	M07_N	1500	11015	25122
p	ʒ	['ə', 'u']	M02_O	M04_O	1513	19076	18409
a	z	['i', 'd']	F06_O	M07_N	1534	24578	25672
y	m	['d', 'i']	F10_O	F02_N	1571	25338	25576
a	ə	['s', 'd']	F03_O	F06_O	1607	23013	24937
v	ɡ	['i', 'a']	F02_O	F06_O	1640	10665	24667
ʁ	o	['t', 'd']	F10_O	F03_O	1668	4738	23929
ɡ	b	['a', 'ɛ']	M04_O	F02_O	1676	2718	24652
ɡ	n	['i', 'e']	F01_N	M07_N	1705	17081	18928
ʃ	b	['ɔ', 's']	F03_O	M10_O	1719	7328	9987
n	ɛ	['t', 'e']	M07_N	F01_O	1741	852	13274
l	v	['e', 'ɛ']	M10_N	F01_N	1783	25835	25217
j	v	['i', 'a']	F10_O	M04_O	1792	8438	15981
t	ə	['s', 'd']	F10_O	M04_O	1794	15892	12148
z	l	['ɛ', 'ɔ']	F01_O	M07_N	1805	15447	13006
j	ɡ	['a', 'ɛ']	M10_O	F02_N	1808	24603	21288
m	ʃ	['ə', 'ə']	M02_O	F01_O	1867	21228	25250
z	ɡ	['i', 'a']	M01_O	F01_N	1881	12141	25482
s	ɲ	['i', 'k']	M10_N	M04_O	1910	17272	25728
ʃ	ɡ	['ə', 'a']	M08_N	M01_O	1936	24836	23252
ə	ɔ	['p', 't']	F02_O	M07_O	1939	9598	25824
j	ʁ	['p', 'ɛ']	F05_N	F02_O	1943	25369	21702
ɔ	ʁ	['ɛ', 'p']	M07_O	F01_O	1944	7619	4014
ɛ	i	['d', 't']	M04_O	M10_N	1954	9732	25301
j	t	['p', 'e']	F02_O	M02_O	1981	9264	22945
i	l	['b', 'd']	F10_O	F06_N	2016	1201	19924
j	ɲ	['a', 'i']	F10_O	F02_N	2040	4989	24335
l	w	['e', 'a']	M10_N	F06_O	2050	412	25130
v	t	['ɔ', 'i']	M04_O	M10_O	2053	20689	25331
u	s	['t', 'e']	F02_O	F03_O	2055	8267	22435
ʁ	ɡ	['ɛ', 'ɛ']	F05_N	M02_O	2058	1971	24499
k	ɡ	['e', 'a']	F06_N	F10_O	2064	2548	25313
n	b	['o', 'u']	F05_N	F06_O	2067	22744	20951
d	a	['i', 'a']	M08_N	F01_N	2087	15634	25033
f	w	['k', 'a']	F06_N	M10_O	2092	594	4681
ɲ	j	['a', 'i']	F02_O	F06_O	2103	18932	20093
ʃ	f	['u', 'ɛ']	M08_N	M01_O	2110	1358	16568
j	z	['ɛ', 'ɔ']	F01_O	M10_N	2113	15510	20429
ʒ	k	['o', 'u']	M07_N	F02_O	2131	24772	22642
u	j	['v', 'ɛ']	F01_O	M08_N	2137	14514	24271
j	s	['t', 'e']	F06_O	M10_O	2176	22037	25119
ʁ	b	['ə', 'u']	F02_O	F02_N	2212	24873	9668
e	ʁ	['t', 'e']	M10_O	F06_O	2219	6606	25105
ʁ	y	['f', 'a']	M10_O	M04_O	2226	21813	25016
y	ø	['d', 'p']	F01_N	M08_N	2231	14129	25480
l	ɡ	['i', 'a']	F06_O	M01_O	2329	24897	25881
j	ə	['k', 'e']	M01_O	F06_N	2333	12381	23089
ʁ	ɛ	['v', 'e']	M10_O	M01_O	2397	655	22329
ʃ	ʒ	['i', 'e']	F01_O	F10_O	2402	23509	21954
p	ʁ	['e', 'e']	F01_N	F06_O	2418	12090	19200
a	t	['u', 'd']	M07_N	M08_N	2470	9947	6878
ø	w	['p', 'a']	F03_O	M07_N	2481	4261	24200
ʁ	i	['b', 'd']	F10_O	F01_O	2483	19926	25101
d	j	['i', 'ɛ']	M01_O	M04_O	2498	20219	21241
ʃ	a	['ɛ', 'a']	F06_N	M02_O	2502	25444	7910
ɲ	s	['ɛ', 'd']	M01_O	F10_O	2583	16293	22228
n	ɡ	['i', 'a']	F03_O	M01_O	2629	16452	25827
m	o	['ɛ', 't']	M10_O	F01_N	2642	19409	16716
m	z	['i', 'ɛ']	M04_O	F01_O	2703	21313	25073
ə	s	['k', 't']	F01_O	M07_N	2710	18923	23489
b	ɡ	['a', 'ɛ']	M04_O	F10_O	2718	11906	21741
e	w	['v', 'a']	F01_O	F10_O	2727	23516	20133
o	s	['k', 't']	F01_N	F03_O	2757	758	22987
ʃ	f	['e', 'ɛ']	M02_O	M08_N	2768	23207	8759
y	o	['b', 't']	M07_N	M02_O	2835	20645	23743
d	ɡ	['i', 'e']	F03_O	F06_N	2845	23185	25557
m	ɲ	['a', 'i']	F02_N	M08_N	2875	18186	25484
w	i	['ʒ', 'a']	F06_O	M07_O	2884	16660	24340
ɛ	z	['e', 'ɛ']	F06_N	F06_O	2886	21426	24616
i	ɔ	['p', 'k']	M10_N	F10_O	2900	8220	9878
ʒ	z	['i', 'ɛ']	M04_O	M02_O	2920	9586	25854
k	j	['i', 'ɛ']	M02_O	F01_O	2928	1251	22114
e	m	['s', 'ɛ']	F06_N	F06_O	2934	24530	23978
y	l	['ɡ', 'i']	F01_O	M02_O	2953	15912	6596
ə	e	['k', 'a']	M10_O	F02_N	2966	1961	13722
t	m	['o', 'u']	F10_O	M04_O	2992	12378	16462
ʁ	ɡ	['i', 'a']	F01_O	M07_N	2996	19327	25902
e	n	['d', 'a']	M10_O	F02_O	3002	7843	25650
e	ɔ	['p', 't']	F02_O	M10_N	3024	22064	25497
s	z	['o', 'ɛ']	M04_O	M02_O	3039	12451	15752
e	s	['t', 'ɛ']	F01_N	F06_N	3088	10935	23204
i	d	['ʒ', 'e']	F06_O	M07_N	3124	25551	24888
u	w	['k', 'a']	F06_O	M08_N	3126	16380	11537
z	ɡ	['i', 'e']	M07_N	F02_N	3142	12275	25262
ɲ	n	['i', 'd']	M08_N	F02_O	3146	8600	24255
ɛ	i	['p', 'k']	F10_O	F06_N	3150	3457	25510
n	l	['ɔ', 'ɔ']	M02_O	M04_O	3172	17548	19383
s	k	['ɔ', 't']	F06_N	F01_O	3234	22305	22756
y	m	['t', 'a']	F06_O	M02_O	3241	14683	13000
y	u	['t', 'e']	F03_O	F01_N	3266	7952	25937
s	u	['k', 's']	M08_N	F02_O	3269	1436	3041
u	o	['s', 'd']	M04_O	F10_O	3305	21803	19540
n	j	['t', 'ɛ']	F06_O	F03_O	3355	25072	25383
d	ʁ	['t', 'ɛ']	F06_N	F05_N	3356	18551	5730
p	w	['v', 'a']	M07_O	F05_N	3369	23762	15369
t	o	['ɛ', 'f']	M01_O	F05_N	3388	19784	25512
l	z	['ɛ', 'ɔ']	M07_N	F10_O	3396	13006	25785
n	a	['ɛ', 'p']	F01_N	F03_O	3454	18069	23003
ʒ	j	['s', 'e']	F01_O	F02_O	3509	17997	19445
z	b	['a', 'ɛ']	M08_N	F02_O	3526	10408	18903
u	l	['b', 'd']	F06_O	M08_N	3545	21051	12518
ʁ	z	['o', 'ɛ']	F10_O	M07_N	3549	2513	25630
d	e	['s', 'e']	M02_O	M01_O	3563	25787	25730
ɲ	ʁ	['a', 'd']	M08_N	F06_N	3593	25692	10253
p	j	['a', 'e']	M04_O	F01_N	3689	8200	25278
a	ʁ	['t', 'ɛ']	F06_N	F10_O	3729	21381	15816
ʃ	b	['a', 'ɛ']	F06_N	F05_N	3760	11253	17924
ʁ	ɡ	['i', 'e']	F01_N	M01_O	3809	14368	25201
m	b	['ɔ', 't']	F01_O	F10_O	3841	22992	24451
y	w	['f', 'a']	M08_N	F06_O	3896	12351	22643
f	ɛ	['e', 'a']	F06_O	M01_O	3923	19420	21712
ɛ	l	['i', 's']	F02_O	M02_O	3946	12554	23261
ʁ	ə	['d', 'p']	F02_O	F03_O	3983	21206	25569
w	ø	['t', 'a']	M01_O	M02_O	4013	13549	25346
ʃ	a	['a', 't']	F03_O	F05_N	4041	7017	21343
n	ɛ	['v', 'ɛ']	F06_N	F02_O	4094	721	16980
t	ɲ	['ɛ', 'd']	F10_O	F03_O	4115	4889	24827
e	z	['i', 'd']	M08_N	M07_N	4182	1036	23954
l	ə	['k', 'd']	F06_O	F01_N	4190	19410	18801
a	p	['i', 'a']	M08_N	F05_N	4196	8166	22273
u	t	['ʒ', 'e']	M04_O	F02_O	4209	15815	18270
n	ɲ	['ɛ', 'd']	F10_O	F03_O	4221	15597	24080
l	ɡ	['i', 'e']	F03_O	F06_O	4224	8245	25530
w	ø	['p', 'a']	F03_O	F10_O	4261	4314	20993
a	ɛ	['p', 'k']	F02_O	F06_O	4308	17832	23892
p	y	['t', 'a']	F06_O	F02_O	4320	21910	19696
m	ʃ	['ɔ', 'd']	F02_O	M01_O	4352	4937	23381
k	o	['ɛ', 't']	F01_N	M04_O	4389	10881	23651
e	l	['b', 'd']	F06_N	F10_O	4422	24140	20867
b	z	['i', 'ɛ']	M10_O	F04_O	4428	24397	5886
w	ø	['d', 'a']	M08_N	M01_O	4516	24663	25099
p	ʃ	['e', 'ɛ']	F01_O	F10_O	4539	4146	25718
ʁ	ʃ	['u', 'd']	F10_O	F01_O	4572	12183	24949
s	j	['t', 'ɛ']	F03_O	M07_N	4590	19402	23682
ʁ	ɲ	['i', 'k']	F01_N	F02_O	4629	5196	22211
j	e	['v', 'a']	F01_O	F03_O	4643	15436	21968
ʒ	e	['ə', 't']	M04_O	M07_N	4685	14989	7984
b	j	['i', 'a']	M04_O	F06_N	4692	12020	5438
ɔ	u	['t', 'd']	F02_N	F01_O	4734	5534	25387
o	ʁ	['t', 'd']	F10_O	M04_O	4738	21506	8244
ɛ	p	['ɔ', 't']	M10_N	M07_N	4793	11527	24615
l	ɲ	['a', 'd']	M08_N	F01_N	4819	12087	25221
p	n	['o', 'u']	F05_N	F10_O	4839	15518	13467
j	u	['v', 'ɛ']	M04_O	M02_O	4855	10177	25435
ɛ	w	['f', 'a']	M07_O	F10_O	4926	11917	25237
ʃ	m	['ɔ', 'd']	F02_O	F02_N	4937	21734	19880
p	j	['i', 'ɛ']	F02_O	F01_O	4947	20568	18694
s	a	['b', 't']	M10_O	M04_O	5115	8203	24850
i	j	['s', 'ɛ']	F01_O	M10_N	5194	23302	25725
ø	i	['p', 'k']	M10_N	F01_N	5236	4315	20617
u	w	['t', 'a']	F02_O	M01_O	5241	13164	13782
j	ɡ	['ɛ', 'ɛ']	F05_N	M07_O	5344	341	20974
y	ɔ	['p', 't']	M07_N	F06_N	5378	23043	13339
ʒ	ɡ	['i', 'e']	F03_O	M10_N	5396	7714	23729
o	m	['t', 'a']	F01_O	M02_O	5477	16308	20664
z	ɲ	['a', 'i']	F02_O	M04_O	5488	17466	23810
u	ɔ	['t', 'd']	F02_N	M07_N	5534	4734	25762
f	y	['t', 'a']	F06_O	F05_N	5545	24207	24657
d	ɲ	['a', 'i']	F02_O	F03_O	5738	19617	23085
o	a	['b', 't']	M10_N	M10_O	5746	23218	25894
b	ʁ	['ɔ', 't']	F01_N	F01_O	5984	19237	9328
k	l	['ɔ', 't']	F06_N	M02_O	6063	10523	24278
t	j	['p', 'e']	M01_O	F02_O	6315	5487	9264
d	i	['ʒ', 'e']	M02_O	F06_O	6352	23246	25551
u	ɔ	['d', 's']	M01_O	F06_O	6362	16104	22073
o	ʁ	['d', 's']	F03_O	M07_O	6405	123	6843
l	ɛ	['i', 's']	F10_O	F05_N	6436	9194	25572
f	e	['s', 'a']	F02_O	F01_O	6567	22310	20382
ʁ	z	['i', 'ɛ']	F02_O	F03_O	6651	19333	22390
z	e	['ø', 't']	F02_O	M04_O	6671	11742	20668
k	o	['t', 'a']	M02_O	M07_O	6808	16905	14074
y	p	['s', 'ɛ']	F02_N	F01_N	6826	17839	12101
a	f	['ɛ', 'ɛ']	F10_O	F06_O	6930	12571	24240
ɔ	l	['i', 'b']	F10_O	M07_N	6969	18771	18733
y	ə	['k', 's']	M04_O	M01_O	6988	24327	24830
s	ʒ	['ə', 't']	M04_O	F06_N	6994	14835	21693
y	s	['k', 't']	F03_O	F06_O	7009	20595	25445
a	ʃ	['a', 't']	F03_O	F01_N	7017	4041	25466
ə	j	['s', 'ɛ']	M01_O	F06_O	7043	23339	21056
ø	o	['p', 'd']	M02_O	F03_O	7076	9920	25625
v	a	['ɛ', 'p']	M07_O	F05_N	7146	907	19862
z	ɛ	['e', 'ɛ']	F06_N	F02_O	7147	2886	24928
ɛ	z	['i', 'p']	F02_O	M10_O	7216	21701	7005
l	i	['ʒ', 'a']	F02_N	F03_O	7282	20017	21371
b	ʃ	['ɔ', 's']	F03_O	F10_O	7328	1719	23466
ʁ	ɔ	['ɛ', 'p']	F01_O	M10_O	7395	4014	25328
ɔ	ɛ	['p', 'k']	F02_N	F06_N	7411	8278	22162
t	u	['ʒ', 'e']	M04_O	M07_N	7500	4209	24229
o	ø	['d', 'f']	F06_O	F03_O	7753	25400	14821
j	ø	['d', 'ɔ']	M07_N	M10_O	7808	11717	21454
ø	o	['d', 'f']	F06_O	F05_N	7813	7753	12178
n	e	['d', 'a']	M10_O	M02_O	7843	25294	15565
b	f	['e', 'ɛ']	M01_O	M10_O	7857	24382	10354
b	ɡ	['ə', 'a']	M08_N	M07_N	7889	20113	25958
e	m	['i', 's']	F02_O	M10_O	7893	632	25126
f	a	['i', 'ɛ']	F02_N	F10_O	7900	215	24286
n	ʃ	['ɔ', 's']	F03_O	M04_O	8207	8085	25934
ɛ	d	['t', 'i']	F10_O	F05_N	8212	18101	15525
ɔ	ɛ	['k', 's']	F03_O	F01_O	8260	16225	21699
ɔ	y	['p', 't']	M07_N	M07_O	8279	5378	24425
f	ɡ	['ɛ', 'ɛ']	F03_O	F06_O	8385	20094	21260
ɛ	ʁ	['t', 'ɛ']	M02_O	F02_O	8451	19477	20533
p	o	['a', 't']	M01_O	M02_O	8553	24468	13772
