l ʁ	'p,ɛ'	'e,e'	'k,a'
v z	'i,i'	'i,ɛ'	'i,a'
ɲ ʒ	'i,i'	'a,d'	'a,i'
ʃ f	'e,ɛ'	'u,ɛ'	'i,e'
ʃ n	'i,ɛ'	'ɔ,s'	'ə,ə'
ʃ ʒ	'a,e'	'e,u'	'i,e'
ɲ d	'i,i'	'i,d'	'a,i'
ɲ s	'i,i'	'i,k'	'ɛ,d'
k v	'i,i'	'ə,u'	'e,ɛ'
ɲ k	'i,i'	'i,k'	'i,d'
ʃ k	'e,ɛ'	'i,ɛ'	'ə,ə'
i ɛ	'd,t'	'p,s'	'p,k'
j m	't,ɛ'	'i,ɛ'	'ɛ,ɔ'
j s	't,ɛ'	't,e'	'i,ɛ'
a s	't,ɛ'	'b,t'	'k,s'
a y	't,ɛ'	'd,t'	'p,s'
d e	't,ɛ'	't,e'	's,e'
j e	't,ɛ'	't,e'	'v,a'
j y	't,ɛ'	't,e'	's,a'
p y	's,a'	's,ɛ'	't,a'
t e	't,ɛ'	's,d'	'i,k'
t y	't,ɛ'	's,d'	's,a'
o ʁ	'u,t'	'd,s'	'a,s'
a m	't,ɛ'	'i,ɛ'	'i,a'
f y	's,a'	's,ɛ'	't,a'
n e	't,ɛ'	't,e'	'd,a'
t j	't,ɛ'	'i,ɛ'	'ɛ,ɔ'
d j	't,ɛ'	't,e'	'i,ɛ'
p j	'i,ɛ'	'i,a'	'a,e'
b j	'i,ɛ'	'i,a'	'ɛ,ɛ'
k j	'i,ɛ'	'ɛ,ɔ'	'i,a'
e m	't,ɛ'	's,ɛ'	'i,s'
y m	't,ɛ'	't,a'	'd,i'
n ɛ	't,ɛ'	't,e'	'v,ɛ'
a d	't,ɛ'	'i,ɛ'	'a,s'
p a	'i,ɛ'	'i,a'	's,a'
a ə	'd,t'	's,d'	'k,s'
e e	'd,t'	's,d'	'd,p'
o ə	'd,t'	's,d'	'k,s'
u e	'd,t'	'p,s'	't,e'
u ə	'd,t'	's,d'	'k,s'
y ə	'd,t'	's,d'	'k,s'
ɔ e	'p,s'	'k,s'	'p,t'
ɔ ə	'k,s'	'p,t'	'd,s'
o i	'd,t'	'b,t'	's,d'
ø e	'd,t'	's,d'	'd,p'
ø i	'd,t'	'p,k'	's,d'
ø ə	'd,t'	's,d'	'd,p'
ɛ e	'd,t'	'p,s'	'v,a'
y i	'd,t'	'p,s'	'b,t'
a u	'd,t'	'p,s'	'b,t'
a o	'd,t'	'b,t'	's,d'
o u	'd,t'	'b,t'	's,d'
ø o	'd,t'	'd,f'	'p,d'
ø u	'd,t'	'p,s'	's,d'
ɛ a	'd,t'	'p,s'	'z,k'
ɛ o	'd,t'	's,d'	'f,a'
ɛ u	'd,t'	'p,s'	'v,a'
u y	'd,t'	'p,s'	't,e'
ɛ y	'd,t'	'p,s'	's,d'
ø y	'd,t'	'p,s'	'd,p'
ɔ u	'p,s'	'd,s'	't,d'
y o	'd,t'	'b,t'	's,d'
ɔ o	'k,s'	'z,p'	'e,d'
ɔ y	'p,s'	'k,s'	'p,t'
ø ɛ	'd,t'	'p,s'	'p,k'
ɛ ɔ	'p,s'	'p,k'	'k,s'
i ɔ	'p,s'	'p,k'	'b,t'
ø ɔ	'p,s'	'p,k'	'p,t'
p ɡ	'ə,u'	'i,a'	'ɛ,ɛ'
s ɡ	'ə,u'	'i,a'	'i,e'
v ɡ	'ə,u'	'i,a'	'i,e'
d ɡ	'ə,u'	'i,a'	'i,e'
j ɡ	'i,a'	'ɛ,ɛ'	'a,ɛ'
n ɡ	'ə,u'	'i,a'	'i,e'
b ɡ	'ə,u'	'a,ɛ'	'ə,a'
f ɡ	'ə,u'	'i,e'	'ɛ,ɛ'
ʒ ɡ	'ə,u'	'i,a'	'i,e'
j v	'i,ɛ'	'i,a'	'a,e'
i j	'ʒ,a'	's,a'	's,ɛ'
z j	'i,ɛ'	'ɛ,ɔ'	'i,a'
o l	'b,d'	'ɛ,t'	'a,t'
u j	't,e'	'v,a'	'v,ɛ'
ɛ d	't,e'	't,i'	's,e'
ɛ j	't,e'	'v,a'	's,e'
f j	'i,ɛ'	'ɛ,ɔ'	'i,a'
s u	't,e'	'b,t'	'k,s'
j w	'v,a'	'ʒ,a'	's,a'
p ɛ	'v,a'	'ɔ,t'	's,e'
ɛ m	'ɔ,t'	's,ɛ'	'i,s'
s o	'b,t'	'k,t'	't,a'
k e	's,d'	'i,k'	's,a'
k i	's,d'	's,a'	's,ɛ'
k ɛ	's,d'	'a,s'	's,a'
t o	's,d'	'ɛ,f'	'ɛ,s'
t u	's,d'	's,f'	'ʒ,e'
a k	's,d'	'i,ɛ'	'a,s'
ɡ ʁ	'i,a'	'i,e'	'ɛ,ɛ'
y w	'f,a'	's,a'	't,a'
m o	't,a'	'ɛ,t'	'a,k'
o p	't,a'	'ɛ,t'	'a,t'
o k	'a,s'	't,a'	'ɛ,t'
s ə	'k,s'	'k,t'	'k,e'
s ɛ	'k,s'	'u,t'	'ɛ,d'
a v	'i,ɛ'	'a,s'	'i,a'
d ʃ	'i,ɛ'	'e,a'	'a,e'
z ʃ	'i,ɛ'	'i,a'	'a,e'
ɡ ʃ	'i,a'	'a,ɛ'	'ə,a'
v ʃ	'i,ɛ'	'ə,ə'	'e,a'
j ʃ	'i,ɛ'	'i,a'	'a,e'
a n	'i,ɛ'	'i,a'	'ɛ,p'
z a	'i,ɛ'	'i,a'	'i,d'
ʒ j	'i,ɛ'	'a,e'	's,e'
ɡ z	'i,a'	'i,e'	'ɛ,ɛ'
b z	'i,ɛ'	'o,a'	'a,ɛ'
b ʃ	'ɔ,s'	'ə,ɛ'	'a,ɛ'
ø w	't,a'	'd,a'	'p,a'
z e	'i,d'	'i,p'	'ø,t'
y y	'd,p'	'd,s'	'd,f'
a a	't,ʃ'	'v,t'	'e,t'
ɔ s	'ɛ,p'	'k,t'	'i,t'
ɲ m	'a,d'	'ɛ,d'	'a,i'
y k	's,a'	't,a'	'd,i'
ə j	'd,ɔ'	's,ɛ'	'k,e'
ɲ j	'a,d'	'i,d'	'a,i'
d i	's,ɛ'	'ʒ,e'	'k,e'
f ɛ	's,ɛ'	't,a'	'e,a'
ʃ a	'u,k'	'ɛ,a'	'a,t'
z ɛ	'i,d'	'i,p'	'e,ɛ'
